Logs
[TRAFFIC] 192.168.1.28
[SYSTEM] Started
[SAFE] 192.168.1.28
[TRAFFIC] 192.168.1.58
[SAFE] 192.168.1.58
[TRAFFIC] 192.168.1.125
[SAFE] 192.168.1.125
[TRAFFIC] 192.168.1.91
[SAFE] 192.168.1.91
[TRAFFIC] 192.168.1.137
[SAFE] 192.168.1.137
[TRAFFIC] 192.168.1.131
[SAFE] 192.168.1.131
[API] Loaded 20 malicious IPs
[TRAFFIC] 192.168.1.72
[SAFE] 192.168.1.72
[TRAFFIC] 192.168.1.136
[SAFE] 192.168.1.136
[TRAFFIC] 221.199.172.66
[THREAT] 221.199.172.66 → BLOCKED
[TRAFFIC] 192.168.1.95
[SAFE] 192.168.1.95
[TRAFFIC] 192.168.1.60
[SAFE] 192.168.1.60
[TRAFFIC] 192.168.1.100
[SAFE] 192.168.1.100
[TRAFFIC] 92.118.39.236
[THREAT] 92.118.39.236 → BLOCKED
[TRAFFIC] 45.142.193.161
[THREAT] 45.142.193.161 → BLOCKED
[TRAFFIC] 192.168.1.133
[SAFE] 192.168.1.133
[TRAFFIC] 192.168.1.110
[SAFE] 192.168.1.110
[TRAFFIC] 192.168.1.146
[SAFE] 192.168.1.146
[TRAFFIC] 172.161.78.164
[THREAT] 172.161.78.164 → BLOCKED
[TRAFFIC] 165.154.6.102
[THREAT] 165.154.6.102 → BLOCKED
[TRAFFIC] 172.161.78.164
[BLOCKED] 172.161.78.164
[TRAFFIC] 59.92.50.157
[THREAT] 59.92.50.157 → BLOCKED
[TRAFFIC] 192.168.1.26
[SAFE] 192.168.1.26
[TRAFFIC] 192.168.1.71
[SAFE] 192.168.1.71
[TRAFFIC] 192.168.1.17
[SAFE] 192.168.1.17
[TRAFFIC] 192.168.1.94
[SAFE] 192.168.1.94
[TRAFFIC] 20.65.193.189
[THREAT] 20.65.193.189 → BLOCKED
[TRAFFIC] 192.168.1.69
[SAFE] 192.168.1.69
[TRAFFIC] 192.168.1.31
[SAFE] 192.168.1.31
[TRAFFIC] 101.36.119.184
[THREAT] 101.36.119.184 → BLOCKED
[SYSTEM] Stopped
[SYSTEM] Stopped
